origem,alvo,h,modelo,y_true,media,q10,q20,q30,q40,q50,q60,q70,q80,q90
2017-10-01,2017-11-01,1,ar1_logdiff,0.051650,0.043353,0.028291,0.033015,0.036545,0.039465,0.045643,0.048781,0.050888,0.053005,0.056348
2017-10-01,2017-12-01,2,ardl_logdiff,0.062216,0.032967,0.000893,0.010001,0.017610,0.024439,0.039190,0.044072,0.049393,0.054501,0.061245
2017-10-01,2017-12-01,2,ar1_logdiff,0.062216,0.024179,-0.006020,0.003451,0.010530,0.016385,0.028772,0.035063,0.039286,0.043533,0.050235
2017-11-01,2017-12-01,1,ardl_logdiff,0.062216,0.036703,0.023419,0.026960,0.030341,0.033385,0.039435,0.040821,0.043175,0.045554,0.048343
2017-11-01,2017-12-01,1,ar1_logdiff,0.062216,0.031945,0.016823,0.021324,0.025156,0.029554,0.035313,0.037391,0.039704,0.041242,0.044488
2017-11-01,2018-01-01,2,ardl_logdiff,0.031344,0.028108,-0.003961,0.004587,0.012749,0.020097,0.034703,0.038051,0.043734,0.049477,0.056210
2017-11-01,2018-01-01,2,ar1_logdiff,0.031344,0.021043,-0.009254,-0.000237,0.007442,0.016252,0.027790,0.031953,0.036588,0.039668,0.046172
2017-12-01,2018-01-01,1,ardl_logdiff,0.031344,0.055711,0.042591,0.045173,0.049312,0.052542,0.057020,0.059496,0.061623,0.064527,0.068070
2017-12-01,2018-01-01,1,ar1_logdiff,0.031344,0.050414,0.034711,0.038973,0.043117,0.048794,0.053071,0.055772,0.057417,0.060183,0.062489
2017-12-01,2018-02-01,2,ardl_logdiff,0.013699,0.049250,0.017575,0.023809,0.033803,0.041600,0.052410,0.058388,0.063524,0.070534,0.079088
2017-12-01,2018-02-01,2,ar1_logdiff,0.013699,0.038253,0.006825,0.015354,0.023648,0.035010,0.043570,0.048975,0.052266,0.057801,0.062418
2018-01-01,2018-02-01,1,ardl_logdiff,0.013699,0.024896,0.010755,0.015527,0.017856,0.021266,0.026952,0.029810,0.031723,0.032797,0.038479
2018-01-01,2018-02-01,1,ar1_logdiff,0.013699,0.021353,0.005227,0.010699,0.014274,0.017524,0.024636,0.026470,0.029054,0.030939,0.034533
2018-01-01,2018-03-01,2,ardl_logdiff,0.044017,0.029776,-0.004364,0.007158,0.012779,0.021013,0.034738,0.041639,0.046258,0.048851,0.062569
2018-01-01,2018-03-01,2,ar1_logdiff,0.044017,0.033223,0.000840,0.011828,0.019008,0.025534,0.039817,0.043499,0.048688,0.052474,0.059693
2018-02-01,2018-03-01,1,ardl_logdiff,0.044017,0.019739,0.005671,0.010220,0.012478,0.016335,0.022413,0.024483,0.026610,0.028502,0.032368
2018-02-01,2018-03-01,1,ar1_logdiff,0.044017,0.026287,0.010258,0.015663,0.019214,0.021168,0.028226,0.031376,0.034189,0.035783,0.039295
2018-02-01,2018-04-01,2,ardl_logdiff,0.048838,0.014334,-0.019629,-0.008647,-0.003196,0.006117,0.020791,0.025789,0.030923,0.035491,0.044823
2018-02-01,2018-04-01,2,ar1_logdiff,0.048838,0.024401,-0.007751,0.003091,0.010212,0.014133,0.028289,0.034608,0.040250,0.043448,0.050492
2018-03-01,2018-04-01,1,ardl_logdiff,0.048838,0.038181,0.023261,0.028272,0.031033,0.034419,0.040083,0.043560,0.044655,0.047180,0.051825
2018-03-01,2018-04-01,1,ar1_logdiff,0.048838,0.040366,0.024118,0.029518,0.032896,0.035694,0.043407,0.045276,0.047983,0.050075,0.053532
2018-03-01,2018-05-01,2,ardl_logdiff,-0.071201,0.036594,0.000573,0.012672,0.019336,0.027511,0.041185,0.049579,0.052222,0.058318,0.069533
2018-03-01,2018-05-01,2,ar1_logdiff,-0.071201,0.033124,0.000513,0.011352,0.018132,0.023747,0.039229,0.042980,0.048413,0.052612,0.059550
2018-04-01,2018-05-01,1,ardl_logdiff,-0.071201,0.046803,0.031647,0.036964,0.039521,0.042803,0.048868,0.052095,0.053712,0.056067,0.060017
