w_1,w_2,se_hac,t_stat,p_value,mae_combinado,rmse_combinado,mae_f1,mae_f2,rmse_f1,rmse_f2,n,convexo,h,f1,f2
0.022324,0.977676,0.196556,0.113576,0.909574,0.025997,0.047187,0.033553,0.025941,0.052731,0.047190,95,True,1,ardl,ar1
0.034269,0.965731,0.265854,0.128900,0.897436,0.036893,0.064102,0.044878,0.036761,0.071229,0.064111,94,True,2,ardl,ar1
