origem,alvo,h,modelo,y_true,q10,q20,q30,q40,q50,q60,q70,q80,q90,media
2018-05-01,2018-06-01,1,sazonal_naive,0.036525,-0.016293,0.015484,0.049737,0.069578,0.090529,0.100050,0.109938,0.130035,0.138709,0.027383
2018-05-01,2018-06-01,1,ar1,0.036525,-0.087843,-0.079216,-0.075178,-0.069823,-0.064725,-0.061907,-0.053299,-0.044834,-0.038449,-0.065814
2018-05-01,2018-07-01,2,portgdp_ols,0.031527,-0.066060,-0.054694,-0.047004,-0.035305,-0.029045,-0.022247,-0.016444,-0.014335,0.000375,-0.031206
2018-05-01,2018-07-01,2,rw,0.031527,-0.098791,-0.085395,-0.077569,-0.071866,-0.068526,-0.063180,-0.051064,-0.039866,-0.034359,-0.068725
2018-05-01,2018-07-01,2,sazonal_naive,0.031527,-0.021521,0.010256,0.044509,0.064350,0.085301,0.094821,0.104709,0.124807,0.133481,0.022155
2018-05-01,2018-07-01,2,ar1,0.031527,-0.092893,-0.081256,-0.075809,-0.068587,-0.061710,-0.057909,-0.046298,-0.034880,-0.026267,-0.063178
2018-06-01,2018-07-01,1,portgdp_ols,0.031527,-0.064790,-0.053881,-0.046713,-0.033677,-0.029419,-0.021986,-0.015992,-0.011260,0.002288,-0.030024
2018-06-01,2018-07-01,1,rw,0.031527,0.015289,0.024929,0.030380,0.034998,0.036839,0.041575,0.050519,0.057782,0.062413,0.036525
2018-06-01,2018-07-01,1,sazonal_naive,0.031527,-0.020882,0.010476,0.037983,0.062652,0.083810,0.094505,0.102845,0.124262,0.133339,0.022155
2018-06-01,2018-07-01,1,ar1,0.031527,0.007549,0.013913,0.017906,0.022066,0.030182,0.033424,0.042609,0.051649,0.055940,0.030061
2018-06-01,2018-08-01,2,portgdp_ols,0.022660,-0.093893,-0.082984,-0.075816,-0.062780,-0.058522,-0.051089,-0.045095,-0.040363,-0.026815,-0.059127
2018-06-01,2018-08-01,2,rw,0.022660,0.006492,0.020126,0.027835,0.034365,0.036968,0.043667,0.056316,0.066586,0.073136,0.036525
2018-06-01,2018-08-01,2,sazonal_naive,0.022660,-0.002012,0.029346,0.056853,0.081522,0.102681,0.113375,0.121716,0.143132,0.152210,0.041026
2018-06-01,2018-08-01,2,ar1,0.022660,-0.005572,0.002897,0.008210,0.013747,0.024546,0.028861,0.041084,0.053113,0.058824,0.024386
2018-07-01,2018-08-01,1,portgdp_ols,0.022660,-0.092984,-0.082661,-0.075571,-0.061294,-0.058387,-0.050874,-0.044239,-0.030723,-0.016583,-0.057632
2018-07-01,2018-08-01,1,rw,0.022660,0.010338,0.020088,0.025535,0.028959,0.031668,0.035824,0.044876,0.052571,0.057239,0.031527
2018-07-01,2018-08-01,1,sazonal_naive,0.022660,-0.001373,0.029566,0.050398,0.080791,0.101190,0.113059,0.119852,0.142587,0.152069,0.041026
2018-07-01,2018-08-01,1,ar1,0.022660,0.003480,0.009805,0.013560,0.019434,0.025984,0.028698,0.036883,0.046920,0.051372,0.025753
2018-07-01,2018-09-01,2,portgdp_ols,-0.010795,-0.081940,-0.071617,-0.064527,-0.050250,-0.047343,-0.039830,-0.033195,-0.019680,-0.005539,-0.046588
2018-07-01,2018-09-01,2,rw,-0.010795,0.001562,0.015350,0.023053,0.027896,0.031726,0.037604,0.050405,0.061288,0.067889,0.031527
2018-07-01,2018-09-01,2,sazonal_naive,-0.010795,-0.007881,0.023058,0.043890,0.074283,0.094682,0.106551,0.113344,0.136080,0.145561,0.034518
2018-07-01,2018-09-01,2,ar1,-0.010795,-0.008971,-0.000551,0.004448,0.012267,0.020986,0.024599,0.035496,0.048857,0.054784,0.020679
2018-08-01,2018-09-01,1,portgdp_ols,-0.010795,-0.081936,-0.071423,-0.063230,-0.050456,-0.045463,-0.037812,-0.033116,-0.018437,-0.001806,-0.044304
2018-08-01,2018-09-01,1,rw,-0.010795,0.001519,0.011378,0.016370,0.019051,0.022628,0.026204,0.035363,0.043491,0.048195,0.022660
2018-08-01,2018-09-01,1,sazonal_naive,-0.010795,-0.005979,0.022178,0.043729,0.067131,0.088119,0.106016,0.112320,0.135015,0.145492,0.034518
2018-08-01,2018-09-01,1,ar1,-0.010795,-0.003960,0.002220,0.005721,0.013213,0.018011,0.020522,0.027678,0.038684,0.043335,0.017819
