h,modelo_alvo,baseline,dm_stat,p_value,n
1,dfm_1f,ar1,2.417144,0.017594,94
1,dfm_1f,ardl,1.792817,0.076253,94
2,dfm_1f,ar1,0.682607,0.496552,94
2,dfm_1f,ardl,-0.424397,0.672257,94
1,dfm_2f,ar1,4.044974,0.000108,94
1,dfm_2f,ardl,4.125992,0.000080,94
2,dfm_2f,ar1,1.822650,0.071570,94
2,dfm_2f,ardl,2.188276,0.031155,94
