metodo,h,n_calibracao,n_teste,q_calibracao_pp,nominal,cobertura,ic_lo_95,ic_hi_95,largura_pp,pinball_10pp,pinball_90pp,desvio_cobertura_pp
conformal_padrao,1,29,29,3.133641,0.8,0.931034,0.780354,0.980879,6.267283,0.388238,0.316684,13.103448
conformal_block_bootstrap,1,29,29,3.65728,0.8,0.965517,0.828245,0.993887,7.31456,0.434196,0.350991,16.551724
quantil_empirico_simples,1,29,29,2.753407,0.8,0.931034,0.780354,0.980879,5.506814,0.363326,0.291772,13.103448
