metodo,h,alvo,y_true,y_comb,intervalo_inf,intervalo_sup,dentro
quantil_empirico_simples,1,2024-11-01,0.024704,0.029065,0.001531,0.056599,True
quantil_empirico_simples,1,2024-12-01,0.00582,0.017662,-0.009872,0.045196,True
quantil_empirico_simples,1,2025-01-01,0.018682,0.004887,-0.022647,0.032421,True
quantil_empirico_simples,1,2025-02-01,0.012783,0.013827,-0.013707,0.041361,True
quantil_empirico_simples,1,2025-03-01,0.027397,0.009125,-0.018409,0.036659,True
quantil_empirico_simples,1,2025-04-01,0.024534,0.018777,-0.008757,0.046311,True
quantil_empirico_simples,1,2025-05-01,0.031809,0.016847,-0.010687,0.044381,True
quantil_empirico_simples,1,2025-06-01,-0.011418,0.021776,-0.005758,0.04931,False
quantil_empirico_simples,1,2025-07-01,0.001932,-0.007027,-0.034561,0.020507,True
quantil_empirico_simples,1,2025-08-01,0.011617,0.001969,-0.025566,0.029503,True
quantil_empirico_simples,1,2025-09-01,-0.001918,0.00836,-0.019174,0.035894,True
quantil_empirico_simples,1,2025-10-01,-0.000959,-0.000772,-0.028306,0.026762,True
quantil_empirico_simples,1,2025-11-01,0.003857,-0.000435,-0.02797,0.027099,True
