origem,alvo,h,modelo,y_true,q10,q20,q30,q40,q50,q60,q70,q80,q90,media
2019-07-01,2019-08-01,1,dfm_2f,-0.024085,-0.042091,-0.032512,-0.022621,-0.012408,-0.00832,-0.002761,0.002442,0.005189,0.021341,-0.009662
2019-08-01,2019-09-01,1,dfm_1f,0.005952,-0.100431,-0.073921,-0.058278,-0.043278,-0.02922,-0.008772,0.003978,0.029671,0.046938,-0.024214
2019-08-01,2019-09-01,1,dfm_2f,0.005952,-0.041614,-0.033867,-0.023636,-0.014043,-0.009154,-0.003874,0.002581,0.007377,0.024706,-0.009673
2019-09-01,2019-10-01,1,dfm_1f,0.013685,-0.099394,-0.073739,-0.057637,-0.042333,-0.026696,-0.005835,0.005259,0.02944,0.047129,-0.023481
2019-09-01,2019-10-01,1,dfm_2f,0.013685,-0.041091,-0.032319,-0.024046,-0.013086,-0.008213,-0.0033,0.002987,0.006574,0.023702,-0.009356
2019-10-01,2019-11-01,1,dfm_1f,-0.009785,-0.100195,-0.073514,-0.057928,-0.042311,-0.024798,-0.003333,0.007175,0.027668,0.045625,-0.02374
2019-10-01,2019-11-01,1,dfm_2f,-0.009785,-0.036712,-0.025138,-0.014177,-0.00459,0.000585,0.004747,0.009158,0.013218,0.025771,-0.002618
2019-11-01,2019-12-01,1,dfm_1f,-0.021569,-0.099705,-0.072422,-0.057433,-0.041469,-0.023254,-0.005329,0.005317,0.026868,0.045302,-0.023474
2019-11-01,2019-12-01,1,dfm_2f,-0.021569,-0.036331,-0.02491,-0.016332,-0.006285,-0.001795,0.003122,0.00839,0.011941,0.02757,-0.00339
2019-12-01,2020-01-01,1,dfm_1f,-0.002956,-0.098638,-0.070968,-0.056591,-0.040233,-0.021569,-0.006641,0.005269,0.026485,0.045471,-0.022964
2019-12-01,2020-01-01,1,dfm_2f,-0.002956,-0.032953,-0.022101,-0.013422,-0.002426,0.001431,0.007306,0.012752,0.016086,0.032408,-2.2e-05
2020-01-01,2020-02-01,1,dfm_1f,0.000982,-0.09727,-0.069559,-0.056127,-0.039033,-0.021055,-0.004468,0.005183,0.026306,0.046018,-0.022152
2020-01-01,2020-02-01,1,dfm_2f,0.000982,-0.026732,-0.016866,0.002846,0.011342,0.02321,0.04897,0.066735,0.086443,0.095267,0.033321
2020-02-01,2020-03-01,1,dfm_1f,-0.071146,-0.096364,-0.068317,-0.055899,-0.037945,-0.020586,-0.00284,0.004927,0.025841,0.046165,-0.021566
